Age,EdLevel,YearsCodePro,DevType,CompanySize,Salary_USD
18-35 years old,Master,2,DS/MLE,Small(1-99),42480.0
18-35 years old,Bachelor,5,DS/MLE,Large(>1000),130000.0
18-35 years old,Master,2,DE/DA/BA,Large(>1000),28320.0
>35 years old,Doctoral(PhD),8,DS/MLE,Medium(100-999),158000.0
18-35 years old,Doctoral(PhD),1,DS/MLE,Small(1-99),100000.0
18-35 years old,Master,2,DE/DA/BA,Medium(100-999),1298.0
>35 years old,Master,5,DE/DA/BA,Large(>1000),66360.0
18-35 years old,Bachelor,4,DE/DA/BA,Large(>1000),98500.0
>35 years old,Doctoral(PhD),22,DS/MLE,Large(>1000),75900.0
>35 years old,Master,3,DS/MLE,Large(>1000),102700.0
18-35 years old,Master,9,DS/MLE,Small(1-99),70000.0
>35 years old,Master,2,DS/MLE,Large(>1000),107300.0
>35 years old,Master,9,DS/MLE,Large(>1000),82600.0
18-35 years old,Master,6,DS/MLE,Small(1-99),71100.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),18200.0
>35 years old,Doctoral(PhD),6,DS/MLE,Large(>1000),90000.0
>35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),85000.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),92000.0
>35 years old,Bachelor,19,DE/DA/BA,Medium(100-999),65000.0
>35 years old,Doctoral(PhD),20,DS/MLE,Large(>1000),70800.0
18-35 years old,Master,7,DS/MLE,Medium(100-999),5900.0
18-35 years old,Bachelor,8,DE/DA/BA,Small(1-99),29400.0
>35 years old,Bachelor,21,DE/DA/BA,Medium(100-999),4720.0
18-35 years old,Master,5,DS/MLE,Large(>1000),40120.0
18-35 years old,Bachelor,Less than 1 year,DS/MLE,Large(>1000),7000.0
18-35 years old,Master,4,DE/DA/BA,Small(1-99),50740.0
18-35 years old,Master,3,DS/MLE,Large(>1000),38940.0
18-35 years old,Bachelor,7,DS/MLE,Medium(100-999),11200.0
>35 years old,Bachelor,3,DE/DA/BA,Large(>1000),73500.0
18-35 years old,Master,3,DE/DA/BA,Small(1-99),51749.99999999999
18-35 years old,Bachelor,7,DS/MLE,Small(1-99),47200.0
>35 years old,Bachelor,20,DS/MLE,Medium(100-999),130000.0
18-35 years old,Bachelor,13,DE/DA/BA,Small(1-99),155000.0
18-35 years old,Master,7,DE/DA/BA,Small(1-99),125000.0
>35 years old,Bachelor,35,DE/DA/BA,Small(1-99),70000.0
>35 years old,Master,10,DS/MLE,Large(>1000),7080.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),81370.0
>35 years old,Doctoral(PhD),12,DS/MLE,Small(1-99),9440.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),9800.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),35400.0
>35 years old,Bachelor,25,DE/DA/BA,Small(1-99),160000.0
18-35 years old,Bachelor,3,DE/DA/BA,Medium(100-999),64000.0
18-35 years old,Doctoral(PhD),7,DS/MLE,Large(>1000),135000.0
18-35 years old,Master,2,DS/MLE,Small(1-99),80040.0
18-35 years old,Master,2,DS/MLE,Large(>1000),3658.0
18-35 years old,Bachelor,2,DE/DA/BA,Medium(100-999),49560.0
18-35 years old,Bachelor,2,DS/MLE,Small(1-99),59000.0
>35 years old,Bachelor,11,DE/DA/BA,Small(1-99),56640.0
>35 years old,Master,12,DE/DA/BA,Small(1-99),175000.0
18-35 years old,Master,7,DS/MLE,Medium(100-999),88500.0
18-35 years old,Bachelor,5,DE/DA/BA,Medium(100-999),82600.0
18-35 years old,Bachelor,2,DE/DA/BA,Large(>1000),11200.0
>35 years old,Master,35,DS/MLE,Medium(100-999),106200.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),41000.0
18-35 years old,Bachelor,8,DE/DA/BA,Large(>1000),110000.0
18-35 years old,Master,7,DE/DA/BA,Large(>1000),300000.0
18-35 years old,Bachelor,4,DE/DA/BA,Medium(100-999),4600.0
>35 years old,Master,15,DE/DA/BA,Medium(100-999),191160.0
>35 years old,Master,30,DS/MLE,Large(>1000),206999.99999999997
18-35 years old,Master,4,DE/DA/BA,Large(>1000),166000.0
18-35 years old,Master,8,DS/MLE,Large(>1000),89000.0
18-35 years old,Master,7,DS/MLE,Large(>1000),160000.0
18-35 years old,Master,3,DS/MLE,Large(>1000),53100.0
18-35 years old,Bachelor,11,DE/DA/BA,Small(1-99),88500.0
18-35 years old,Master,7,DS/MLE,Small(1-99),70000.0
>35 years old,Master,45,DE/DA/BA,Large(>1000),57959.99999999999
18-35 years old,Master,6,DS/MLE,Large(>1000),138000.0
>35 years old,Master,8,DS/MLE,Large(>1000),70800.0
18-35 years old,Bachelor,3,DE/DA/BA,Large(>1000),26600.0
>35 years old,Master,3,DE/DA/BA,Large(>1000),88500.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),28320.0
18-35 years old,Bachelor,1,DE/DA/BA,Medium(100-999),65000.0
18-35 years old,Bachelor,3,DS/MLE,Small(1-99),34096.4
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),1950.0
18-35 years old,Master,Less than 1 year,DE/DA/BA,Small(1-99),41400.0
>35 years old,Master,10,DE/DA/BA,Large(>1000),106200.0
18-35 years old,Master,10,DS/MLE,Small(1-99),275000.0
18-35 years old,Bachelor,9,DE/DA/BA,Medium(100-999),240000.0
>35 years old,Bachelor,31,DE/DA/BA,Large(>1000),82000.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),76000.0
18-35 years old,Bachelor,1,DE/DA/BA,Small(1-99),25200.0
18-35 years old,Master,10,DS/MLE,Large(>1000),25200.0
>35 years old,Master,21,DS/MLE,Medium(100-999),88500.0
18-35 years old,Bachelor,8,DS/MLE,Large(>1000),150000.0
18-35 years old,Bachelor,5,DE/DA/BA,Large(>1000),138000.0
18-35 years old,Master,4,DS/MLE,Small(1-99),82800.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),3658.0
18-35 years old,Master,2,DS/MLE,Small(1-99),69000.0
>35 years old,Doctoral(PhD),2,DS/MLE,Large(>1000),118000.0
18-35 years old,Master,3,DS/MLE,Small(1-99),25960.0
18-35 years old,Bachelor,7,DE/DA/BA,Large(>1000),500000.0
>35 years old,Doctoral(PhD),8,DS/MLE,Small(1-99),47200.0
18-35 years old,Bachelor,2,DE/DA/BA,Small(1-99),70000.0
>35 years old,Bachelor,13,DE/DA/BA,Medium(100-999),135000.0
18-35 years old,Master,4,DE/DA/BA,Medium(100-999),3500.0
18-35 years old,Master,1,DS/MLE,Small(1-99),49560.0
18-35 years old,Master,2,DS/MLE,Small(1-99),53100.0
18-35 years old,Bachelor,11,DE/DA/BA,Medium(100-999),94400.0
>35 years old,Doctoral(PhD),3,DS/MLE,Large(>1000),82600.0
>35 years old,Bachelor,22,DE/DA/BA,Large(>1000),149000.0
18-35 years old,Bachelor,6,DS/MLE,Small(1-99),2596.0
18-35 years old,Doctoral(PhD),6,DS/MLE,Small(1-99),125000.0
18-35 years old,Master,2,DS/MLE,Large(>1000),59000.0
>35 years old,Master,13,DE/DA/BA,Small(1-99),84960.0
18-35 years old,Bachelor,6,DS/MLE,Small(1-99),16800.0
18-35 years old,Master,8,DE/DA/BA,Small(1-99),90000.0
18-35 years old,Doctoral(PhD),10,DS/MLE,Small(1-99),49560.0
>35 years old,Master,12,DE/DA/BA,Large(>1000),82800.0
18-35 years old,Master,7,DS/MLE,Large(>1000),270000.0
>35 years old,Master,12,DE/DA/BA,Large(>1000),83780.0
18-35 years old,Master,3,DE/DA/BA,Small(1-99),130000.0
>35 years old,Master,46,DE/DA/BA,Small(1-99),102700.0
18-35 years old,Master,5,DE/DA/BA,Small(1-99),41400.0
18-35 years old,Master,2,DE/DA/BA,Large(>1000),59000.0
18-35 years old,Master,3,DS/MLE,Medium(100-999),67260.0
18-35 years old,Bachelor,5,DS/MLE,Small(1-99),64900.0
